total_debt_value,current_outstanding_balance,percent_paid_amount,num_distinct_debts,total_multa_value,total_ressarcimento_value,has_ever_been_protested,protest_paid_amount,pge_paid_amount,num_installments,num_cancelled_installments,num_reopened_installments,age_oldest_decision,difference_in_years_decisions
97803.21,97803.20999999999,0.0,8,85185.36,12617.85,1,0,0.0,0,0,0,12.0,0.0
27429.6314,20161.511400000003,0.2649733018286203,14,19871.2998,7558.3315999999995,1,4,0.0,0,0,0,13.0,6.0
394361.1753,379543.67529999994,0.03757342489084523,70,393242.9153,1118.26,0,0,0.0,0,0,0,11.0,0.0
300.0,300.0,0.0,1,300.0,0.0,0,0,0.0,0,0,0,8.0,0.0
99948.0,73455.14,0.2650664345459639,5,99948.0,0.0,0,0,0.0,3,3,0,9.0,0.0
1786140.46,1786140.46,0.0,29,266461.17,1519679.29,0,0,0.0,0,0,0,18.0,10.0
258620.0,255573.69999999998,0.011779058077488207,7,258620.0,0.0,1,5,0.0,0,0,0,10.0,8.0
78382.0,78382.0,0.0,4,78382.0,0.0,1,0,0.0,0,0,0,12.0,4.0
24200.0,19214.14,0.20602727272727275,1,24200.0,0.0,0,0,0.0,22,0,0,2.0,0.0
494580.2145,487100.6145,0.015123128222105618,41,261238.2745,233341.93999999997,1,7,0.0,0,0,0,16.0,12.0
833326.86,771048.14,0.07473504454182599,15,576042.9700000001,257283.89,0,0,0.0,58,58,16,13.0,3.0
41528.72,41528.72,0.0,4,41250.44,278.28,1,0,3165.42,0,0,0,10.0,5.0
1367707.999,1296587.159,0.05200001758562501,61,1367707.999,0.0,1,2,0.0,0,0,0,11.0,5.0
1993908.771,643212.1032000002,0.6774114680896802,23,1992597.8577999999,1310.9132,0,0,0.0,179,122,122,14.0,4.0
1527.47,1527.47,0.0,1,0.0,1527.47,0,0,0.0,0,0,0,6.0,0.0
32385.12,32385.12,0.0,4,20446.22,11938.9,0,0,0.0,0,0,0,13.0,3.0
126626.6088,122338.39880000001,0.03386499915490116,7,126626.6088,0.0,1,10,0.0,10,10,0,12.0,3.0
1227357.4285,329253.0584999999,0.7317382444147564,58,1227203.4287999999,153.9997,0,0,0.0,313,254,230,11.0,7.0
1763284.6339,148456.81389999998,0.915806664989959,16,1733644.1339,29640.5,0,0,0.0,289,244,9,11.0,5.0
689823.4721,671436.5120999999,0.026654587359901463,97,689787.4221000001,36.05,0,0,0.0,2,2,0,14.0,3.0
530488.3572,527268.7971999999,0.006069049313340897,12,236145.0072,294343.35,1,0,0.0,0,0,0,12.0,4.0
451303.65,451303.64999999997,0.0,14,267368.42000000004,183935.23,1,0,0.0,0,0,0,11.0,2.0
818669.6859,799505.3359,0.02340913598007696,72,818669.6859,0.0,0,0,0.0,0,0,0,10.0,1.0
390654.22,390654.22,0.0,18,256662.41999999998,133991.8,1,0,0.0,0,0,0,19.0,12.0
3100.0,3100.0,0.0,1,3100.0,0.0,0,0,0.0,0,0,0,11.0,0.0
2764260.956,2763505.9560000002,0.0002731290612636356,22,1027960.5059999999,1736300.4499999997,1,0,0.0,0,0,0,15.0,4.0
92327.2,92327.2,0.0,3,92327.2,0.0,1,0,2216.96,0,0,0,13.0,6.0
1091394.245,906335.105,0.1695621365494739,12,1091394.245,0.0,1,108,3272.9,162,156,0,12.0,0.0
11513.93,11513.93,0.0,2,300.0,11213.93,0,0,0.0,0,0,0,23.0,1.0
820602.88,-44221.669999999955,1.0538892454289222,15,820602.8799999998,0.0,0,0,0.0,196,188,153,15.0,7.0
76309.1388,76007.8888,0.003947757827401926,5,76309.1388,0.0,1,0,0.0,0,0,0,13.0,4.0
119687.31,119687.31,0.0,6,52607.94,67079.37,0,0,0.0,0,0,0,15.0,3.0
417588.689,417088.689,0.0011973504387711037,34,302814.299,114774.39000000001,1,0,0.0,0,0,0,19.0,14.0
32422.129999999997,32422.129999999997,0.0,6,937.61,31484.52,0,0,0.0,0,0,0,22.0,14.0
420180.5322,410663.2622,0.022650430637919022,80,420180.5322,0.0,1,0,0.0,4,4,0,11.0,2.0
300.0,300.0,0.0,1,300.0,0.0,0,0,0.0,0,0,0,8.0,0.0
249448.0,249448.0,0.0,3,249448.0,0.0,1,0,0.0,0,0,0,8.0,0.0
949201.9037,888085.1968999999,0.0643874675785693,30,928421.9036999999,20780.0,1,16,35768.95,116,116,38,12.0,3.0
154572.832,142082.402,0.08080611475113557,9,152855.63199999998,1717.2,1,0,0.0,0,0,0,10.0,6.0
1452892.0224,1320509.2724,0.09111671614888482,15,1452892.0224,0.0,1,169,0.0,274,274,0,10.0,0.0
205700.0,205700.0,0.0,4,205700.0,0.0,1,0,0.0,0,0,0,8.0,5.0
2300.0,0.0,1.0,1,2300.0,0.0,0,0,0.0,0,0,0,9.0,0.0
492971.6642,302414.8542,0.38654718686364625,48,492971.66419999994,0.0,0,0,0.0,32,29,28,17.0,8.0
27111.71,26511.71,0.022130658671105585,3,26387.2,724.51,0,0,0.0,0,0,0,13.0,4.0
650095.2857,627239.1557,0.035158122974833325,86,650095.2856999999,0.0,1,0,0.0,0,0,0,10.0,0.0
923260.39,868644.6299999999,0.05915531586923166,25,923260.39,0.0,1,7,0.0,140,135,0,10.0,8.0
101956.0,101956.0,0.0,4,53956.0,48000.0,1,0,0.0,0,0,0,8.0,3.0
210041.33,209157.5,0.004207886133648078,8,156622.49,53418.84,1,0,0.0,3,3,0,10.0,5.0
62828.0433,61557.7333,0.02021883753301609,7,60859.643299999996,1968.4,0,0,0.0,0,0,0,12.0,0.0
418000.0,418000.0,0.0,2,418000.0,0.0,1,0,0.0,0,0,0,9.0,6.0
152980.8,152980.8,0.0,7,152980.8,0.0,1,0,0.0,0,0,0,11.0,7.0
587900.0982,575079.7281999999,0.0218070553810974,54,587900.0982,0.0,1,0,16272.019999999999,0,0,0,11.0,3.0
209175.818,209175.818,0.0,22,154489.828,54685.99,1,0,0.0,0,0,0,16.0,3.0
194394.4566,191546.9366,0.0146481543239644,17,181067.37660000002,13327.08,1,0,0.0,0,0,0,9.0,3.0
477310.5862,11739.646199999988,0.9754045970497692,26,438741.3599999999,38569.226200000005,0,0,0.0,54,42,42,8.0,2.0
3155718.67,-525934.79,1.166660860804807,17,3155440.41,278.26,0,0,0.0,328,209,209,13.0,5.0
45448.0,45448.0,0.0,2,45448.0,0.0,1,0,0.0,0,0,0,9.0,0.0
185610.12,169448.84,0.0870711144413893,6,185610.12,0.0,1,5,8531.82,28,28,11,10.0,3.0
89971.6,89971.6,0.0,5,83971.6,6000.0,1,0,0.0,0,0,0,11.0,7.0
101250.0,101250.0,0.0,2,101250.0,0.0,1,0,105305.68,0,0,0,9.0,1.0
24000.0,24000.0,0.0,1,24000.0,0.0,0,0,0.0,12,0,0,11.0,0.0
127455.88,127455.87999999999,0.0,2,127455.87999999999,0.0,1,0,0.0,0,0,0,9.0,0.0
17676.73,17676.73,0.0,3,15399.0,2277.73,0,0,0.0,0,0,0,12.0,0.0
1447482.68,1445438.3599999999,0.0014123277799773049,16,957777.3400000001,489705.33999999997,1,0,0.0,0,0,0,13.0,8.0
256867.5,256867.5,0.0,9,227406.29,29461.21,1,0,0.0,0,0,0,9.0,6.0
25000.0,25000.0,0.0,2,25000.0,0.0,0,0,0.0,0,0,0,5.0,0.0
462607.9,454972.9,0.01650425770939061,13,454573.12000000005,8034.780000000001,1,22,0.0,22,22,0,10.0,1.0
691950.1135,657393.1734999999,0.04994137485606468,21,567564.9035,124385.20999999999,1,5,0.0,5,5,0,13.0,5.0
463756.28,264270.68,0.4301518030117026,14,457672.36,6083.92,1,17,0.0,58,55,35,9.0,3.0
27082.0,27082.0,0.0,3,15082.0,12000.0,0,0,0.0,0,0,0,15.0,0.0
6000.0,-336.9600000000005,1.0561600000000002,1,6000.0,0.0,0,0,0.0,0,0,0,7.0,0.0
227936.62,227936.62,0.0,7,225113.47999999998,2823.14,1,0,0.0,0,0,0,10.0,8.0
110.0,-85.03999999999999,1.773090909090909,1,110.0,0.0,0,0,0.0,0,0,0,18.0,0.0
30567.6,30567.6,0.0,4,15015.599999999999,15552.0,0,0,0.0,0,0,0,13.0,0.0
300.0,300.0,0.0,1,300.0,0.0,0,0,0.0,0,0,0,21.0,0.0
65285.8,35565.06999999999,0.4552403432293087,2,65285.79999999999,0.0,0,0,0.0,63,63,0,8.0,0.0
29753.1433,28753.143299999996,0.033609894252752785,13,11521.6433,18231.5,1,0,0.0,0,0,0,16.0,3.0
6113885.3,6113885.3,0.0,2,655059.14,5458826.16,0,0,0.0,0,0,0,8.0,0.0
478075.1675999999,473138.50759999995,0.01032611675854799,7,195319.0676,282756.1,0,0,0.0,0,0,0,12.0,0.0
13243.6708,2739.5308,0.7931441485241386,26,13243.670800000002,0.0,0,0,0.0,0,0,0,21.0,13.0
7260.0,7063.05,0.027128099173553716,2,100.0,7160.0,0,0,0.0,0,0,0,16.0,0.0
54370.0,54370.0,0.0,1,54370.0,0.0,0,0,0.0,0,0,0,14.0,0.0
300.0,2.4599999999999795,0.9918,2,300.0,0.0,0,0,0.0,0,0,0,14.0,0.0
12036.0,12036.0,0.0,3,4316.0,7720.0,0,0,0.0,0,0,0,12.0,0.0
55.0,0.0,1.0,1,55.0,0.0,0,0,0.0,0,0,0,9.0,0.0
47502.1642,20566.4542,0.5670417433317702,20,31828.1642,15674.0,0,0,0.0,0,0,0,15.0,8.0
16000.0,-2716.16,1.16976,1,16000.0,0.0,1,8,0.0,8,0,0,8.0,0.0
27590.0,27590.0,0.0,7,27290.0,300.0,1,0,0.0,0,0,0,15.0,6.0
291890.1314,290055.6514,0.006284830498383886,9,176794.72140000004,115095.41,1,0,0.0,0,0,0,11.0,0.0
245620.04679999998,244810.04679999998,0.00329777642563335,10,245620.04679999998,0.0,1,0,0.0,0,0,0,10.0,5.0
561149.5898,548982.4198,0.02168253980511098,15,16269.5898,544880.0,1,8,0.0,0,0,0,15.0,5.0
5700.0,4018.6,0.2949824561403509,4,1500.0,4200.0,0,0,0.0,0,0,0,15.0,3.0
134408.0,133900.9,0.0037728409023272424,4,134408.0,0.0,1,0,0.0,0,0,0,11.0,6.0
311357.39999999997,241405.30000000002,0.22466817875534675,6,169552.43999999997,141804.96,0,0,0.0,21,21,0,13.0,9.0
256140.9652,250814.2152,0.02079616587624227,36,253890.9652,2250.0,1,0,0.0,0,0,0,13.0,0.0
56558.75,35373.84,0.3745646783212146,9,56558.75,0.0,1,5,0.0,23,19,19,9.0,7.0
476451.30999999994,476451.30999999994,0.0,8,137304.15,339147.16,0,0,0.0,0,0,0,13.0,3.0
15509.4172,13059.507200000002,0.1579627376327203,13,10409.4172,5100.0,0,0,0.0,0,0,0,13.0,0.0
8263.02,8263.02,0.0,4,182.46,8080.56,0,0,0.0,0,0,0,18.0,7.0
92305.0,92305.0,0.0,3,52755.0,39550.0,1,0,0.0,0,0,0,13.0,5.0
930410.487,209133.90200000006,0.7752240490384757,10,927580.6449999999,2829.842,1,18,11436.0,142,82,60,10.0,8.0
1500.0,1500.0,0.0,1,1500.0,0.0,0,0,0.0,0,0,0,10.0,0.0
806224.645,806224.645,0.0,13,346771.685,459452.95999999996,1,0,0.0,0,0,0,14.0,2.0
24600.0,24600.0,0.0,1,24600.0,0.0,1,0,0.0,0,0,0,8.0,0.0
4548.0822,-215.25780000000015,1.0473293556567649,5,4548.0822,0.0,0,0,0.0,4,0,0,12.0,3.0
4000.0,4000.0,0.0,1,4000.0,0.0,1,0,0.0,0,0,0,12.0,0.0
16105.0,16105.0,0.0,4,12055.0,4050.0,1,0,0.0,0,0,0,11.0,0.0
200850.2315,189553.07149999996,0.056246686476933434,61,200850.2315,0.0,0,0,0.0,0,0,0,13.0,0.0
1216435.0620000002,1216435.062,0.0,33,76274.272,1140160.79,1,0,0.0,0,0,0,20.0,14.0
187904.54,187904.54,0.0,14,99044.57,88859.97,1,0,0.0,0,0,0,20.0,9.0
18339.6,18339.6,0.0,4,406.40999999999997,17933.19,0,0,0.0,0,0,0,9.0,0.0
51873.8218,45402.8518,0.12474442359286513,31,27192.821799999994,24681.0,0,0,0.0,0,0,0,17.0,6.0
17100.0,17100.0,0.0,3,5100.0,12000.0,0,0,0.0,0,0,0,15.0,0.0
1473692.9836,1428270.0036,0.030822552937070247,14,1464958.5036,8734.48,1,0,0.0,0,0,0,13.0,7.0
22709.262000000002,22497.811999999998,0.009311178848524447,11,6930.842000000001,15778.42,1,1,0.0,0,0,0,15.0,10.0
496489.8319,483150.2219,0.026867841278745027,87,494211.51190000004,2278.32,0,0,0.0,0,0,0,13.0,0.0
521318.60099999997,521318.60099999997,0.0,25,246930.591,274388.01,0,0,0.0,0,0,0,18.0,9.0
669447.72,669447.72,0.0,11,254855.52,414592.2,0,0,0.0,0,0,0,12.0,0.0
168746.06100000002,168746.061,0.0,10,10969.701000000001,157776.36,0,0,0.0,0,0,0,17.0,7.0
267073.94999999995,267073.94999999995,0.0,4,58704.37,208369.58,0,0,0.0,0,0,0,15.0,0.0
31274.23,31274.23,0.0,2,6548.0,24726.23,0,0,0.0,0,0,0,17.0,0.0
89181.5383,82561.05829999999,0.07423599240606506,27,78046.7083,11134.83,0,0,0.0,0,0,0,17.0,2.0
1198696.53,1198696.53,0.0,20,203004.62999999998,995691.9000000001,0,0,0.0,0,0,0,16.0,10.0
696015.774,696015.774,0.0,9,346974.444,349041.33,1,0,0.0,0,0,0,15.0,11.0
366040.81,366040.81,0.0,11,224651.11,141389.7,1,0,0.0,0,0,0,13.0,7.0
11674.869999999999,11674.869999999999,0.0,5,4284.97,7389.9,0,0,0.0,0,0,0,16.0,3.0
1982229.952,1982229.952,0.0,17,141802.012,1840427.94,0,0,0.0,0,0,0,17.0,7.0
12827.82,12827.82,0.0,2,200.0,12627.82,0,0,0.0,0,0,0,16.0,0.0
34883.8736,33073.323599999996,0.05190220618159791,15,33258.8736,1625.0,1,0,0.0,0,0,0,17.0,2.0
522726.78,522726.77999999997,0.0,11,123587.55,399139.23,0,0,0.0,0,0,0,13.0,3.0
46702770.0,46702596.02,3.7252608357063192e-06,12,37372122.0,9330648.0,0,0,0.0,0,0,0,14.0,4.0
50156.2168,43293.43680000001,0.13682810303188578,23,45306.8668,4849.35,0,0,0.0,0,0,0,13.0,0.0
530482.2197,-14970.469500000036,1.0282204924954246,33,530482.2197,0.0,1,4,0.0,154,146,59,10.0,2.0
3500.0,-23.819999999999936,1.0068057142857143,2,3500.0,0.0,0,0,0.0,0,0,0,8.0,2.0
5832.57,5832.57,0.0,7,3866.5,1966.07,0,0,0.0,0,0,0,17.0,4.0
492637.81,492637.81,0.0,23,15469.330000000002,477168.48,1,0,0.0,0,0,0,14.0,7.0
44315.695,44315.69500000001,0.0,20,15164.475,29151.22,0,0,0.0,0,0,0,22.0,10.0
338109.5346,329653.1946,0.025010652272803427,39,52337.73559999999,285771.799,0,0,0.0,0,0,0,19.0,9.0
1883.28,1883.28,0.0,4,132.16,1751.12,0,0,0.0,0,0,0,16.0,1.0
35600.0,35600.0,0.0,2,35600.0,0.0,0,0,0.0,0,0,0,12.0,2.0
142227.0361,138044.7361,0.029405801559834376,19,107475.0361,34752.0,1,0,0.0,0,0,0,14.0,3.0
490651.39,279997.35000000003,0.4293354595408361,8,489551.01,1100.38,1,8,0.0,52,52,0,8.0,2.0
159257.53,159257.53,0.0,9,136103.05000000002,23154.48,1,0,0.0,0,0,0,9.0,0.0
46768.4,46768.4,0.0,3,46768.4,0.0,1,0,0.0,0,0,0,10.0,2.0
22271.2,21600.46,0.03011692230324365,4,22271.2,0.0,0,0,0.0,0,0,0,13.0,0.0
263159.1348,205980.74480000001,0.21727685813929803,37,229426.2809,33732.853899999995,1,0,0.0,0,0,0,13.0,0.0
2000.0,-180.8499999999999,1.090425,1,2000.0,0.0,0,0,0.0,0,0,0,4.0,0.0
43972.52,43972.52,0.0,3,20361.079999999998,23611.44,0,0,0.0,0,0,0,7.0,0.0
95712.18400000001,94978.914,0.0076611980769344884,11,12639.834000000003,83072.35,0,0,0.0,0,0,0,19.0,7.0
177416.76,125677.32999999997,0.291626506988404,6,177416.76000000007,0.0,1,8,0.0,20,16,0,8.0,5.0
57692.68,57692.68,0.0,2,57692.68,0.0,0,0,11483.56,0,0,0,5.0,1.0
4000.0,4000.0,0.0,2,4000.0,0.0,0,0,0.0,0,0,0,13.0,0.0
604923.2192,600359.8692,0.007543684644862777,21,593932.8591999998,10990.36,1,0,0.0,4,4,0,11.0,0.0
242659.28999999998,242659.29,0.0,7,216019.29,26640.0,0,0,0.0,8,0,0,13.0,0.0
16455698.269999998,16455698.269999998,0.0,36,2971071.4300000006,13484626.839999998,1,0,0.0,0,0,0,12.0,10.0
17500.0,17500.0,0.0,1,17500.0,0.0,1,0,0.0,0,0,0,8.0,0.0
396021.9539,380044.08389999997,0.04034591982250205,65,396021.95389999996,0.0,0,0,0.0,0,0,0,15.0,0.0
3250.0,124.03000000000002,0.9618369230769231,22,3250.0,0.0,1,2,0.0,0,0,0,25.0,17.0
87382.5707,77025.50069999998,0.11852558144069343,18,16202.120700000001,71180.44999999998,0,0,0.0,8,0,0,25.0,16.0
790937.14,790937.1399999999,0.0,19,538145.84,252791.3,1,0,0.0,0,0,0,14.0,11.0
426677.6,426677.60000000003,0.0,12,136264.2,290413.4,0,0,0.0,0,0,0,12.0,1.0
389152.96499999997,210509.89500000002,0.4590561708812884,23,366861.915,22291.05,1,13,0.0,37,37,37,15.0,4.0
797126.708,797126.7079999999,0.0,22,121256.26800000001,675870.44,1,0,0.0,0,0,0,23.0,15.0
3592533.16,2846156.7504,0.20775769529709784,95,3556730.44,35802.72,0,0,110185.28000000001,94,92,92,13.0,6.0
23408.105,23408.104999999996,0.0,11,16793.625,6614.48,0,0,0.0,0,0,0,13.0,0.0
355227.41,355227.41,0.0,7,216810.84,138416.57,0,0,0.0,0,0,0,17.0,12.0
17625.8,17625.8,0.0,2,0.0,17625.8,0,0,0.0,0,0,0,13.0,0.0
209975.74,209975.74000000002,0.0,10,200784.56,9191.18,0,0,0.0,0,0,0,25.0,16.0
5220.5438,2383.9838000000004,0.5433456951362038,13,5220.543800000001,0.0,0,0,0.0,0,0,0,13.0,2.0
23300.0,-574.8400000000006,1.024671244635193,4,23300.0,0.0,0,0,0.0,7,7,0,8.0,4.0
595031.804,1340.4639999999981,0.9977472397424995,11,595031.8040000001,0.0,0,0,0.0,56,28,0,10.0,2.0
1450.0,1450.0,0.0,1,1450.0,0.0,0,0,0.0,0,0,0,15.0,0.0
5400.0,5400.0,0.0,1,5400.0,0.0,0,0,0.0,0,0,0,12.0,0.0
1972.9176,1892.7476000000001,0.040635250047949295,2,1972.9176,0.0,0,0,0.0,0,0,0,21.0,0.0
457531.25,442061.4000000001,0.03381157024793388,8,350513.72000000003,107017.53,1,5,0.0,5,5,0,7.0,3.0
188207.695,188207.69499999998,0.0,18,154504.265,33703.43000000001,1,0,0.0,0,0,0,15.0,6.0
346410.25,346410.25,0.0,7,175800.31,170609.94,1,0,0.0,0,0,0,10.0,0.0
608077.54,605193.29,0.004743227319331676,5,607320.0,757.54,0,0,0.0,0,0,0,16.0,9.0
101829.9745,101829.9745,0.0,18,14351.1645,87478.81,0,0,0.0,0,0,0,16.0,3.0
1355226.56,1355226.56,0.0,15,1355226.56,0.0,1,0,0.0,0,0,0,11.0,8.0
164472.5249,161295.6749,0.019315384146571215,12,97044.2049,67428.32,1,0,0.0,0,0,0,13.0,6.0
266167.2194,217144.37940000003,0.18418060687754245,19,263488.95940000005,2678.26,1,0,0.0,29,29,0,10.0,1.0
295220.8142,257362.9242,0.1282358430674635,10,295220.8142,0.0,1,0,10804.11,25,25,0,12.0,0.0
25371.5,25371.5,0.0,2,2306.5,23065.0,0,0,0.0,0,0,0,13.0,0.0
242119.3068,228136.84680000003,0.05775028924706967,27,242119.30680000002,0.0,1,0,0.0,0,0,0,9.0,0.0
35617.176,35617.176,0.0,9,19142.275999999998,16474.9,0,0,0.0,0,0,0,13.0,2.0
45303.63,45303.63,0.0,3,45303.63,0.0,0,0,0.0,0,0,0,10.0,5.0
4973.598,3715.5280000000002,0.2529496754663324,3,3738.598,1235.0,0,0,0.0,0,0,0,11.0,0.0
1024423.45,678953.37,0.3372336703147514,14,1024423.4500000001,0.0,0,0,0.0,73,54,54,10.0,7.0
334521.2427,331807.99270000006,0.008110845153212745,22,194380.7427,140140.5,0,0,0.0,0,0,0,16.0,2.0
170080.0,170080.0,0.0,6,85880.0,84200.0,1,0,0.0,0,0,0,15.0,2.0
684.0,684.0,0.0,1,0.0,684.0,0,0,0.0,0,0,0,6.0,0.0
7731.26,7731.26,0.0,3,1191.26,6540.0,0,0,0.0,0,0,0,15.0,0.0
131528.72,131528.72,0.0,5,131250.44,278.28,1,0,0.0,0,0,0,9.0,6.0
138500.0,136983.14,0.010952057761732853,2,138500.0,0.0,0,0,0.0,5,5,0,8.0,0.0
901368.5534,898796.3534,0.002853660681080512,20,116137.36499999999,785231.1884,0,0,0.0,0,0,0,18.0,9.0
28347.9051,17850.3951,0.37030990342916026,13,28347.9051,0.0,1,0,0.0,0,0,0,13.0,0.0
519321.97,519321.97,0.0,8,518454.0,867.97,1,0,0.0,0,0,0,10.0,2.0
74529.33,74529.32999999999,0.0,12,48400.0,26129.329999999998,1,0,0.0,0,0,0,18.0,5.0
2013207.2075,2013207.2075,0.0,31,466170.0275000001,1547037.18,1,0,0.0,0,0,0,18.0,15.0
51000.0,51000.0,0.0,3,51000.0,0.0,0,0,0.0,0,0,0,9.0,0.0
492382.78,467479.45999999996,0.050577154627544044,9,16028.4,476354.37999999995,0,0,0.0,0,0,0,14.0,4.0
4843612.6178,4765555.5178,0.01611547127306272,87,1901895.6964999998,2941716.9212999996,1,0,0.0,0,0,0,14.0,9.0
13745.0,11693.47,0.1492564568934158,4,10095.0,3650.0,0,0,0.0,0,0,0,13.0,0.0
16800.0,-11256.599999999999,1.6700357142857143,1,16800.0,0.0,1,12,0.0,0,0,0,12.0,0.0
117.05369999999999,17.0537,0.8543087488904666,2,117.05369999999999,0.0,0,0,0.0,0,0,0,11.0,0.0
7673.6328,-782.3372000000004,1.101951346955252,13,7673.632799999999,0.0,1,4,0.0,0,0,0,14.0,4.0
82180.442,80291.782,0.022981867145469962,3,82180.44200000001,0.0,1,0,2367.85,0,0,0,13.0,4.0
